A 1 2 3 4 5 6 7 8 9 
B 1 2 3 4 5 6 7 8 9 
C 1 2 3 4 5 6 7 8 9 
D 1 2 3 4 5 6 7 8 9 
E 1 2 3 4 5 6 7 8 9 
F 1 2 3 4 5 6 7 8 9 
G 1 2 3 4 5 6 7 8 9 
H 1 2 3 4 5 6 7 8 9 
I 1 2 3 4 5 6 7 8 9 
J 1 2 3 4 5 6 7 8 9 
K 1 2 3 4 5 6 7 8 9 
L 1 2 3 4 5 6 7 8 9 
M 1 2 3 4 5 6 7 8 9 
N 1 2 3 4 5 6 7 8 9 
O 1 2 3 4 5 6 7 8 9 
P 1 2 3 4 5 6 7 8 9 
Q 1 2 3 4 5 6 7 8 9 
R 1 2 3 4 5 6 7 8 9 
S 1 2 3 4 5 6 7 8 9 
T 1 2 3 4 5 6 7 8 9 
U 1 2 3 4 5 6 7 8 9 
V 1 2 3 4 5 6 7 8 9 
W 1 2 3 4 5 6 7 8 9 
X 1 2 3 4 5 6 7 8 9 
Y 1 2 3 4 5 6 7 8 9 
Z x x x 4 5 6 7 8 9 
